BIO1,BIO5,BIO6,BIO12,BIO13,BIO14
1.935128979,1.559605603,1.095227861,1.879559062,1.451342072,2.417810022
1.98040275,1.486092451,1.163643968,1.824164771,1.854776145,2.1572565
1.999805735,1.510597459,1.177327176,1.805700008,1.883592864,2.113830913
1.973934949,1.461588376,1.163643968,1.81800985,2.027676462,2.1572565
1.861212385,1.486092451,1.095227861,1.824164771,1.508975511,0.854488893
1.734630489,1.486092451,0.958395647,1.965727959,1.56660895,1.46244711
1.649626595,1.535101531,0.84892985,1.931875892,1.653059108,1.636149457
1.461139555,1.559605603,0.643681545,1.507186329,1.681875828,1.02819124
1.410322135,1.559605603,0.602631879,1.581045384,1.739509267,1.375595936
1.41309417,1.584110612,0.575265438,1.325616154,1.56660895,1.288744762
1.347493261,1.535101531,0.547898993,1.445637117,1.53779223,1.46244711
1.186724891,1.461588376,0.43843322,1.550270778,1.768325986,1.245319175
1.120199831,1.437083368,0.383700334,1.436404736,1.681875828,1.288744762
1.035196148,1.388075224,0.315284235,1.482566645,1.681875828,1.375595936
0.868884128,1.192039366,0.20581847,1.488721566,1.681875828,1.419021523
0.758933392,1.143030286,0.096352673,1.393320287,1.480158791,1.375595936
0.728442684,1.167534826,0.055303015,1.162510742,1.047907998,1.288744762
0.625883692,1.045012591,-0.0267963,0.987095488,0.759740803,0.984765653
0.641590909,1.118525746,-0.040479541,1.033257397,0.730924084,1.071616827
0.549195483,1.094021671,-0.108895648,1.002482791,0.673290645,0.89791448
0.526096522,1.118525746,-0.136262065,0.802447852,0.529207047,0.811063306
0.318206498,0.848977201,-0.245727862,0.550096082,0.32749001,0.680786545
0.193472483,0.701950426,-0.341510386,0.510089095,0.32749001,0.811063306
0.238746254,0.971499436,-0.382560076,0.353138604,0.241039852,0.593935371
-0.06893094,0.432401416,-0.51939229,0.159258586,0.269856571,0.376807437
0.017920835,0.652941346,-0.4783426,-0.010001747,-0.047127343,0.029402741
-0.103117201,0.530419111,-0.560441915,0.199265574,0.096956254,0.246530676
-0.080942391,0.530419111,-0.51939229,0.137716362,0.096956254,0.159679502
-0.216763916,0.407896876,-0.574125188,-0.000769365,0.068139535,0.072828328
-0.341497932,0.236366026,-0.669907712,0.017695398,-0.162394221,0.072828328
-0.5133536,0.015825631,-0.738323819,0.399300513,-0.047127343,0.246530676
-0.460688085,0.015825631,-0.669907712,0.205420495,-0.133577502,-0.014022846
-0.481939164,-0.082192064,-0.615174879,0.473159567,0.385123449,0.246530676
-0.587269983,-0.131200679,-0.697274129,0.263892247,0.269856571,0.029402741
-0.578954509,-0.229218839,-0.615174879,-0.07462842,-0.24884438,-0.187725193
-0.660262636,-0.057687524,-0.765690236,-0.117712868,-0.450561417,0.029402741
-1.022453228,-0.327236534,-1.080404354,-0.222346528,-0.565828295,-0.014022846
-1.034464574,-0.302731994,-1.148820461,-0.388529401,-0.565828295,-0.23115078
-1.169362157,-0.376245149,-1.422484889,0.23004018,-0.018310624,0.46365861
-1.453940495,-0.596785544,-1.764565424,0.18080081,0.125772974,0.33338185
-1.487202919,-0.474263309,-1.901397637,-0.246966213,-0.047127343,-0.66540665
-1.857709091,-0.670298699,-2.39399366,-0.219269068,-0.392927978,-0.318001954
-1.925157883,-0.547776464,-2.544509147,-0.474698298,-0.479378136,-0.535129889
-2.189409215,-0.719307779,-2.859223135,-0.400839243,-0.364111258,-0.404853128
-2.287348475,-0.743811854,-2.996055349,-0.203881765,-0.047127343,-0.274576367
-2.529424866,-1.037865404,-3.187620396,-0.902465321,-0.306477819,-1.403641627
-2.531272782,-1.062369944,-3.187620396,-0.908620243,-0.306477819,-1.403641627
1.108188591,1.804650073,0.84892985,-1.748766987,-1.516780039,-2.228727779
1.116504063,1.804650073,0.84892985,-1.745689526,-1.516780039,-2.228727779
1.133135436,1.804650073,0.862613091,-1.751844447,-1.516780039,-2.228727779
0.24336596,0.628436806,0.506849328,-1.268683133,-1.055712527,-1.751046323
0.735834428,-0.817325474,1.437308395,0.211575416,0.817374242,-1.012811345
0.745074057,-0.523271924,1.191010384,0.876306906,1.076724718,0.46365861
0.440168688,-0.498767384,0.985762063,-0.610106564,-0.421744697,-0.839108997
0.211027584,-1.135883099,1.081544652,0.190033192,0.702107364,-0.404853128
0.046563448,-1.380927569,0.999445304,0.393145592,0.817374242,-0.274576367
-0.031048701,-1.405432109,0.917345957,0.137716362,0.413940169,-0.274576367
0.017920835,-1.429936649,0.944712406,-0.311592886,0.010506096,-0.361427541
-0.110508945,-0.645794159,0.588948654,-0.985556758,-1.343879722,-0.361427541
-0.159478694,-0.866334089,0.588948654,-0.994789139,-1.343879722,-0.361427541
-0.139151556,-0.988856324,0.588948654,-0.450078613,-0.82517877,0.029402741
-0.10773712,-0.939847709,0.588948654,-0.567022116,-0.911628929,-0.187725193
-0.18534927,-0.866334089,0.506849328,-0.447001152,-0.767545331,-0.187725193
-0.378456017,-1.307414414,0.493166106,-0.471620837,-0.652278453,-0.404853128
-0.464384063,-1.307414414,0.397383558,-0.499317983,-0.652278453,-0.361427541
-0.481015223,-1.086874485,0.274234561,-0.671655776,-0.969262368,-0.404853128
-0.76282163,-1.650476579,-0.081529166,-0.954782152,-1.084529246,-0.79568341
-0.776680965,-1.552458885,0.096352673,-1.031718667,-1.026895807,-0.925960171
-0.548464014,-0.694803239,-0.013113092,-1.401013939,-0.911628929,-1.36021604
-0.30176781,-0.498767384,0.151085571,-1.444098387,-0.969262368,-1.490492801
-0.527212935,-0.645794159,-0.09521244,-0.723972606,-0.565828295,-0.491704302
-0.431121532,-0.474263309,-0.136262065,-0.9978666,-0.479378136,-1.143088106
-0.137303674,-0.008678444,0.055303015,-1.271760593,-1.286246283,-0.969385758
-0.426501824,-0.498767384,-0.09521244,-1.071725654,-0.623461734,-1.22993928
0.259997333,0.236366026,0.260551336,1.608742529,1.825959425,0.593935371
-0.370140543,-0.694803239,0.20581847,0.79321547,0.702107364,1.201893588
-0.347965522,-0.841830014,0.137402363,0.414687816,0.875007681,0.376807437
-0.443132984,-0.841830014,0.151085571,-0.696275461,-0.335294539,-0.578555476
-0.125292221,-0.449758769,0.411066775,-0.985556758,-1.170979405,-0.535129889
-0.320246852,-0.645794159,0.287917785,-1.044028509,-1.228612844,-0.708832237
-0.381227842,-1.013360864,0.328967443,0.248504944,-0.018310624,0.550509784
-0.048604015,-0.768316394,0.575265438,-0.631648788,-0.767545331,-0.318001954
-0.359053033,-1.135883099,0.397383558,-0.173107159,-0.508194856,0.33338185
-0.136379731,-0.474263309,0.465799663,-1.056338351,-1.372696441,-0.535129889
-0.11328077,-0.327236534,0.43843322,-0.828606267,-1.199796124,-0.361427541
-0.09110596,-0.474263309,0.479482885,-0.880923097,-1.199796124,-0.404853128
-0.05229978,-0.302731994,0.424749999,-0.625493867,-0.940445648,-0.187725193
-0.369216602,-0.866334089,0.328967443,-0.290050662,-0.565828295,0.072828328
-0.073550649,-0.449758769,0.424749999,-0.533170049,-0.565828295,-0.23115078
-0.128987989,-0.449758769,0.383700334,-0.597796722,-0.623461734,-0.274576367
0.15374236,-0.082192064,0.52053255,-0.533170049,-0.681095173,-0.23115078
-0.040288329,-0.351741074,0.383700334,-1.145584709,-0.738728612,-1.143088106
0.828230066,0.554923651,0.807880192,-0.816296424,-0.681095173,-1.012811345
1.104492823,0.481410496,1.204693593,-1.096345339,-0.652278453,-1.36021604
-0.965167899,-1.135883099,-0.245727862,-1.293302818,-1.113345966,-1.22993928
-1.804119688,-1.69948566,-1.080404354,-0.982479297,-0.969262368,-0.882534584
1.935128979,1.559605603,1.095227861,1.879559062,1.451342072,2.417810022
-0.578030567,0.040330171,-0.752007093,-0.474698298,-0.82517877,-0.23115078
0.811598694,0.505914571,0.917345957,-0.954782152,-0.306477819,-1.447067214
-1.141643487,-1.184892179,-0.464659391,-1.228676145,-0.998079087,-1.22993928
