Garden,Position,Population,Rep,ContOrigin,ContGarden,Latitude,Longitude,ChangeLat,Cyanotype,Cyanogenesis,Ac_ac,Li_li,Survived1st,MaxArea1st,GrowthRate1st,Herbivory1st,FloweredFull,SeededFull,FlowerHeadNumberFull,SeedSetMassFull,WeightedCD,MATdiff,bio1diff,bio5diff,bio6diff,bio12diff,bio13diff,bio14diff,MA_1st_z,GR_1st_z,FH_Full_z,SS_Full_z
Toronto,93,1,1,NAM,America,30.30521,-92.01003,-13.239379,NA,NA,NA,NA,0,0.35,NA,1,0,0,0,0,4.377298468,11.33333397,2.513159546,1.519275432,1.847234954,2.35425736,2.276520842,2.648960802,0.003185718,NA,NA,NA
Toronto,464,1,2,NAM,America,30.30521,-92.01003,-13.239379,AcLi,Cyanogenic,Ac,Li,1,77.42,0.026366594,27.13333333,1,0,0,0,4.377298468,11.33333397,2.513159546,1.519275432,1.847234954,2.35425736,2.276520842,2.648960802,0.704680816,0.715009227,NA,NA
Toronto,366,1,3,NAM,America,30.30521,-92.01003,-13.239379,AcLi,Cyanogenic,Ac,Li,0,3.06,NA,5.333333333,0,0,0,0,4.377298468,11.33333397,2.513159546,1.519275432,1.847234954,2.35425736,2.276520842,2.648960802,0.027852277,NA,NA,NA
Toronto,337,1,4,NAM,America,30.30521,-92.01003,-13.239379,acli,Acyanogenic,ac,li,0,5.98,NA,15.66666667,0,0,0,0,4.377298468,11.33333397,2.513159546,1.519275432,1.847234954,2.35425736,2.276520842,2.648960802,0.054430267,NA,NA,NA
Toronto,224,1,5,NAM,America,30.30521,-92.01003,-13.239379,NA,NA,NA,NA,0,5.34,NA,72.93333333,0,0,0,0,4.377298468,11.33333397,2.513159546,1.519275432,1.847234954,2.35425736,2.276520842,2.648960802,0.048604954,NA,NA,NA
Toronto,451,2,1,NAM,America,30.11998,-92.07221,-13.424609,AcLi,Cyanogenic,Ac,Li,1,210.52,0.042215945,89.33333333,1,0,0,0,4.415849252,11.53750038,2.558433317,1.44576228,1.915651061,2.298863069,2.679954915,2.38840728,1.916163851,1.144811886,NA,NA
Toronto,321,2,2,NAM,America,30.11998,-92.07221,-13.424609,NA,NA,NA,NA,1,208.1,0.033958377,2.866666667,1,1,2,0.0403,4.415849252,11.53750038,2.558433317,1.44576228,1.915651061,2.298863069,2.679954915,2.38840728,1.894136886,0.920883178,0.039816233,0.018616366
Toronto,44,2,3,NAM,America,30.11998,-92.07221,-13.424609,acli,Acyanogenic,ac,li,0,13.68,NA,24.2,0,0,0,0,4.415849252,11.53750038,2.558433317,1.44576228,1.915651061,2.298863069,2.679954915,2.38840728,0.124516062,NA,NA,NA
Toronto,347,2,4,NAM,America,30.11998,-92.07221,-13.424609,NA,NA,NA,NA,1,189.36,0.036442268,20.46666667,1,1,4,0.0345,4.415849252,11.53750038,2.558433317,1.44576228,1.915651061,2.298863069,2.679954915,2.38840728,1.723564444,0.988241328,0.079632466,0.015937087
Toronto,79,2,5,NAM,America,30.11998,-92.07221,-13.424609,acli,Acyanogenic,ac,li,0,8.41,NA,30.93333333,0,0,0,0,4.415849252,11.53750038,2.558433317,1.44576228,1.915651061,2.298863069,2.679954915,2.38840728,0.076548252,NA,NA,NA
Toronto,208,3,1,NAM,America,30.07987,-92.16403,-13.464719,acli,Acyanogenic,ac,li,0,18.32,NA,30.53333333,0,0,0,0,4.420956404,11.625,2.577836302,1.470267288,1.929334269,2.280398306,2.708771634,2.344981693,0.166749581,NA,NA,NA
Toronto,1,3,2,NAM,America,30.07987,-92.16403,-13.464719,AcLi,Cyanogenic,Ac,Li,0,26.38,NA,7,0,0,0,0,4.420956404,11.625,2.577836302,1.470267288,1.929334269,2.280398306,2.708771634,2.344981693,0.240112115,NA,NA,NA
Toronto,8,3,3,NAM,America,30.07987,-92.16403,-13.464719,acLi,Acyanogenic,ac,Li,0,NA,NA,6,0,0,0,0,4.420956404,11.625,2.577836302,1.470267288,1.929334269,2.280398306,2.708771634,2.344981693,NA,NA,NA,NA
Toronto,35,3,4,NAM,America,30.07987,-92.16403,-13.464719,acli,Acyanogenic,ac,li,0,12.44,NA,3.733333333,0,0,0,0,4.420956404,11.625,2.577836302,1.470267288,1.929334269,2.280398306,2.708771634,2.344981693,0.113229519,NA,NA,NA
Toronto,317,3,5,NAM,America,30.07987,-92.16403,-13.464719,acli,Acyanogenic,ac,li,0,1.58,NA,47.16666667,0,0,0,0,4.420956404,11.625,2.577836302,1.470267288,1.929334269,2.280398306,2.708771634,2.344981693,0.014381241,NA,NA,NA
Toronto,285,4,1,NAM,America,30.09084,-91.90373,-13.453749,AcLi,Cyanogenic,Ac,Li,0,8.99,NA,12.8,0,0,0,0,4.465657971,11.50833321,2.551965516,1.421258205,1.915651061,2.292708148,2.852855232,2.38840728,0.081827442,NA,NA,NA
Toronto,462,4,2,NAM,America,30.09084,-91.90373,-13.453749,AcLi,Cyanogenic,Ac,Li,1,21.25,0.013259895,45.06666667,1,1,1,0.0073,4.465657971,11.50833321,2.551965516,1.421258205,1.915651061,2.292708148,2.852855232,2.38840728,0.193418591,0.359581798,0.019908116,0.003372195
Toronto,137,4,3,NAM,America,30.09084,-91.90373,-13.453749,AcLi,Cyanogenic,Ac,Li,0,4.38,NA,41.46666667,0,0,0,0,4.465657971,11.50833321,2.551965516,1.421258205,1.915651061,2.292708148,2.852855232,2.38840728,0.039866985,NA,NA,NA
Toronto,87,4,4,NAM,America,30.09084,-91.90373,-13.453749,AcLi,Cyanogenic,Ac,Li,0,7.69,NA,4.466666667,0,0,0,0,4.465657971,11.50833321,2.551965516,1.421258205,1.915651061,2.292708148,2.852855232,2.38840728,0.069994775,NA,NA,NA
Toronto,130,4,5,NAM,America,30.09084,-91.90373,-13.453749,NA,NA,NA,NA,0,5.51,NA,10.73333333,0,0,0,0,4.465657971,11.50833321,2.551965516,1.421258205,1.915651061,2.292708148,2.852855232,2.38840728,0.050152303,NA,NA,NA
Toronto,313,6,1,NAM,America,30.39386,-89.76089,-13.150729,AcLi,Cyanogenic,Ac,Li,1,208.94,0.034355453,26.6,1,0,0,0,3.777313599,11,2.439242952,1.44576228,1.847234954,2.298863069,2.334154281,1.085639673,1.90178261,0.931651084,NA,NA
Toronto,263,6,2,NAM,America,30.39386,-89.76089,-13.150729,acli,Acyanogenic,ac,li,0,1.77,NA,45.5,0,0,0,0,3.777313599,11,2.439242952,1.44576228,1.847234954,2.298863069,2.334154281,1.085639673,0.016110631,NA,NA,NA
Toronto,144,6,3,NAM,America,30.39386,-89.76089,-13.150729,AcLi,Cyanogenic,Ac,Li,1,134.6,0.023077015,15.06666667,1,0,1,0,3.777313599,11,2.439242952,1.44576228,1.847234954,2.298863069,2.334154281,1.085639673,1.225136112,0.625802432,0.019908116,NA
Toronto,293,6,4,NAM,America,30.39386,-89.76089,-13.150729,AcLi,Cyanogenic,Ac,Li,1,82.53,0.035050499,20.93333333,1,1,49,1.3226,3.777313599,11,2.439242952,1.44576228,1.847234954,2.298863069,2.334154281,1.085639673,0.751192298,0.95049934,0.975497703,0.610967872
Toronto,177,6,5,NAM,America,30.39386,-89.76089,-13.150729,Acli,Acyanogenic,Ac,li,0,9.73,NA,17.06666667,0,0,0,0,3.777313599,11,2.439242952,1.44576228,1.847234954,2.298863069,2.334154281,1.085639673,0.08856296,NA,NA,NA
Toronto,449,7,1,NAM,America,30.84635,-89.54483,-12.698239,AcLi,Cyanogenic,Ac,Li,1,21.29,0.033905884,20.8,1,1,2,0.0116,3.986635532,10.4291668,2.312661056,1.44576228,1.71040274,2.440426257,2.39178772,1.69359789,0.193782673,0.919459673,0.039816233,0.005358557
Toronto,74,7,2,NAM,America,30.84635,-89.54483,-12.698239,acli,Acyanogenic,ac,li,0,4.28,NA,43.08333333,0,0,0,0,3.986635532,10.4291668,2.312661056,1.44576228,1.71040274,2.440426257,2.39178772,1.69359789,0.03895678,NA,NA,NA
Toronto,159,7,3,NAM,America,30.84635,-89.54483,-12.698239,acli,Acyanogenic,ac,li,0,13.02,NA,2.6,0,0,0,0,3.986635532,10.4291668,2.312661056,1.44576228,1.71040274,2.440426257,2.39178772,1.69359789,0.118508709,NA,NA,NA
Toronto,375,7,4,NAM,America,30.84635,-89.54483,-12.698239,acli,Acyanogenic,ac,li,0,1.56,NA,83.06666667,0,0,0,0,3.986635532,10.4291668,2.312661056,1.44576228,1.71040274,2.440426257,2.39178772,1.69359789,0.0141992,NA,NA,NA
Toronto,107,7,5,NAM,America,30.84635,-89.54483,-12.698239,acLi,Acyanogenic,ac,Li,0,6.43,NA,23.4,0,0,0,0,3.986635532,10.4291668,2.312661056,1.44576228,1.71040274,2.440426257,2.39178772,1.69359789,0.05852619,NA,NA,NA
Toronto,277,8,1,NAM,America,31.2179,-89.30268,-12.326689,Acli,Acyanogenic,Ac,li,1,406.83,0.049217097,7.733333333,1,1,9,0.028,4.028911355,10.04583359,2.227657162,1.49477136,1.600936943,2.40657419,2.478237878,1.867300237,3.702987552,1.334669107,0.179173047,0.012934448
Toronto,155,8,2,NAM,America,31.2179,-89.30268,-12.326689,acLi,Acyanogenic,ac,Li,0,6.21,NA,29.86666667,0,0,0,0,4.028911355,10.04583359,2.227657162,1.49477136,1.600936943,2.40657419,2.478237878,1.867300237,0.056523739,NA,NA,NA
Toronto,399,8,3,NAM,America,31.2179,-89.30268,-12.326689,acli,Acyanogenic,ac,li,0,9.67,NA,54.66666667,0,0,0,0,4.028911355,10.04583359,2.227657162,1.49477136,1.600936943,2.40657419,2.478237878,1.867300237,0.088016837,NA,NA,NA
Toronto,61,8,4,NAM,America,31.2179,-89.30268,-12.326689,acli,Acyanogenic,ac,li,0,3.13,NA,3.933333333,0,0,0,0,4.028911355,10.04583359,2.227657162,1.49477136,1.600936943,2.40657419,2.478237878,1.867300237,0.028489421,NA,NA,NA
Toronto,179,8,5,NAM,America,31.2179,-89.30268,-12.326689,acLi,Acyanogenic,ac,Li,0,4.81,NA,23.06666667,0,0,0,0,4.028911355,10.04583359,2.227657162,1.49477136,1.600936943,2.40657419,2.478237878,1.867300237,0.043780867,NA,NA,NA
Toronto,30,10,1,NAM,America,32.04259,-88.88079,-11.501999,acLi,Acyanogenic,ac,Li,0,9.14,NA,3,0,0,0,0,3.562221362,9.195833208,2.039170122,1.519275432,1.395688638,1.981884627,2.507054598,1.25934202,0.083192749,NA,NA,NA
Toronto,154,10,2,NAM,America,32.04259,-88.88079,-11.501999,AcLi,Cyanogenic,Ac,Li,0,7.86,NA,57.33333333,0,0,0,0,3.562221362,9.195833208,2.039170122,1.519275432,1.395688638,1.981884627,2.507054598,1.25934202,0.071542124,NA,NA,NA
Toronto,160,10,3,NAM,America,32.04259,-88.88079,-11.501999,AcLi,Cyanogenic,Ac,Li,1,95.68,0.046628517,18.73333333,1,1,70,3.4758,3.562221362,9.195833208,2.039170122,1.519275432,1.395688638,1.981884627,2.507054598,1.25934202,0.870884273,1.264472001,1.393568147,1.605626894
